image,seg_index,model,onnx,img_path,phi,yhat,L_global,L_global_src,global_result,L_global_imputed,L_object,L_object_src,object_result,L_object_imputed,L_background,L_background_src,background_result,L_background_imputed,Gamma,Gamma_defined
n01784675_centipede,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01784675_centipede.JPEG,10.815155029296875,79,0.20077645778656,lb_minus_rhs,unsat False,False,0.2008123844861984,lb_minus_rhs,unsat False,False,0.2007538974285125,lb_minus_rhs,unsat False,False,-10.614365205168724,True
n01443537_goldfish,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01443537_goldfish.JPEG,10.12004280090332,1,1.8318383693695068,lb_minus_rhs,unsat False,False,1.8321853876113887,lb_minus_rhs,unsat False,False,1.8330774307250977,lb_minus_rhs,unsat False,False,-8.28661835193634,True
n01828970_bee_eater,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01828970_bee_eater.JPEG,10.149057388305664,92,2.0648045539855957,lb_minus_rhs,unsat False,False,2.0647122859954834,lb_minus_rhs,unsat False,False,2.0752737522125244,lb_minus_rhs,unsat False,False,-8.073875904083252,True
n01592084_chickadee,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01592084_chickadee.JPEG,8.069785118103027,19,0.5334662795066833,lb_minus_rhs,unsat False,False,0.5441878437995911,lb_minus_rhs,unsat False,False,0.5504045486450195,lb_minus_rhs,unsat False,False,-7.5086590051651,True
n02091244_Ibizan_hound,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n02091244_Ibizan_hound.JPEG,7.396725654602051,173,0.1879527568817138,lb_minus_rhs,unsat False,False,0.1879294365644455,lb_minus_rhs,unsat False,False,0.1879623830318451,lb_minus_rhs,unsat False,False,-7.208786591887474,True
n01795545_black_grouse,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01795545_black_grouse.JPEG,8.406760215759277,80,1.6430598497390747,lb_minus_rhs,unsat False,False,1.643176555633545,lb_minus_rhs,unsat False,False,1.6425856351852417,lb_minus_rhs,unsat False,False,-6.764057874679565,True
n01980166_fiddler_crab,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01980166_fiddler_crab.JPEG,6.273202896118164,120,0.1965015083551406,lb_minus_rhs,unsat False,False,0.1965620666742324,lb_minus_rhs,unsat False,False,0.1962850093841552,lb_minus_rhs,unsat False,False,-6.076857328414917,True
n01675722_banded_gecko,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01675722_banded_gecko.JPEG,6.713682174682617,38,0.7562822103500366,lb_minus_rhs,unsat False,False,0.756470799446106,lb_minus_rhs,unsat False,False,0.7581473588943481,lb_minus_rhs,unsat False,False,-5.9553462266922,True
n01739381_vine_snake,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01739381_vine_snake.JPEG,6.153144836425781,59,0.7176602482795715,lb_minus_rhs,unsat False,False,0.7624265551567078,lb_minus_rhs,unsat False,False,0.7758489847183228,lb_minus_rhs,unsat False,False,-5.332529544830322,True
n01694178_African_chameleon,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01694178_African_chameleon.JPEG,6.2823286056518555,47,1.0348358154296875,lb_minus_rhs,unsat False,False,1.0351487398147583,lb_minus_rhs,unsat False,False,1.0405268669128418,lb_minus_rhs,unsat False,False,-5.241488814353943,True
n01817953_African_grey,0,vgg16-7,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/onnx/vgg16-7.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022/imagenet-sample/n01817953_African_grey.JPEG,6.030023574829102,87,1.2018954753875732,lb_minus_rhs,unsat False,False,1.2018682956695557,lb_minus_rhs,unsat False,False,1.2018694877624512,lb_minus_rhs,unsat False,False,-4.828181266784668,True
