instance_id,onnx,vnnlib,timeout,result,domains_visited,bab_time,all_time,init_unstable,lb_len,lb_num_finite,lb_min_finite,lb_argmin_finite,lb_any_neg_finite,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
1,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2583932876586914,105.5026650428772,3717,98,1,0.2395647764205932,77.0,False,resnet_large__label_10__idx_7516,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
2,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.6806416511535645,0,0,0,,,False,resnet_large__label_10__idx_7516,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276004433631896,"[0, 0, 30, 31]",1047,2025,3072,34.08203125,random
3,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1747028827667236,103.72677755355836,2860,98,0,,,False,resnet_large__label_10__idx_7516,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276004433631896,"[0, 0, 30, 31]",2025,1047,3072,65.91796875,random
4,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2430729866027832,102.36460518836977,3738,98,0,,,False,resnet_large__label_10__idx_8477,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
5,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.760976791381836,0,0,0,,,False,resnet_large__label_10__idx_8477,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9435863494873048,"[1, 0, 29, 30]",948,2124,3072,30.859375,random
6,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.3258180618286133,36.84162187576294,2871,98,0,,,False,resnet_large__label_10__idx_8477,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9435863494873048,"[1, 0, 29, 30]",2124,948,3072,69.140625,random
7,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_global_k1024_eps_0.0039.vnnlib,100,sat True,,,4.205247402191162,0,0,0,,,False,resnet_large__label_11__idx_3469,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
8,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.6547365188598637,0,0,0,,,False,resnet_large__label_11__idx_3469,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863366603851318,"[0, 0, 31, 31]",1188,1884,3072,38.671875,random
9,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.2514615058898926,20.66419243812561,2155,96,0,,,False,resnet_large__label_11__idx_3469,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863366603851318,"[0, 0, 31, 31]",1884,1188,3072,61.328125,random
10,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_global_k1024_eps_0.0039.vnnlib,100,sat True,,,4.041456937789917,0,0,0,,,False,resnet_large__label_12__idx_6868,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
