image,object_ratio
n01824575_coucal,0.2347935267857142
n02085620_Chihuahua,0.376953125
n01818515_macaw,0.385921556122449
n01685808_whiptail,0.3916613520408163
n01984695_spiny_lobster,0.4037189094387755
n02111129_Leonberg,0.4253627232142857
n02100236_German_short-haired_pointer,0.4255819515306122
n02102040_English_springer,0.4371811224489796
n01806143_peacock,0.4374601403061224
n02113712_miniature_poodle,0.4660594706632653
n02099267_flat-coated_retriever,0.4686503507653061
n02088632_bluetick,0.4688097895408163
n02091244_Ibizan_hound,0.4705038265306122
n02088466_bloodhound,0.4754464285714285
n01774750_tarantula,0.4835977359693877
n01667114_mud_turtle,0.4870655293367347
n01981276_king_crab,0.4958944515306122
n01983481_American_lobster,0.4962133290816326
n01644900_tailed_frog,0.5013751594387755
n01744401_rock_python,0.5039660395408163
n02110806_basenji,0.5096659757653061
n02113799_standard_poodle,0.5103635204081632
n02100583_vizsla,0.5116988201530612
n01873310_platypus,0.5134925063775511
n02104365_schipperke,0.5151466836734694
n02086646_Blenheim_spaniel,0.5211057079081632
n01534433_junco,0.5240353954081632
n01945685_slug,0.5269451530612245
n01728920_ringneck_snake,0.5317881058673469
n02091032_Italian_greyhound,0.5524952168367347
n02100877_Irish_setter,0.5607661033163265
n02098286_West_Highland_white_terrier,0.5650510204081632
n01739381_vine_snake,0.566047512755102
n02088238_basset,0.5666454081632653
n02097658_silky_terrier,0.5687779017857143
n02110341_dalmatian,0.5792809311224489
n02113023_Pembroke,0.5890465561224489
n02106166_Border_collie,0.5928930165816326
n02102480_Sussex_spaniel,0.5961814413265306
n01558993_robin,0.5970982142857143
n02098105_soft-coated_wheaten_terrier,0.6002670599489796
n02113624_toy_poodle,0.6065449617346939
n02105056_groenendael,0.6070232780612245
n01871265_tusker,0.6148158482142857
n02090379_redbone,0.619758450255102
n01697457_African_crocodile,0.6261957908163265
n02099849_Chesapeake_Bay_retriever,0.6277303890306123
n02110627_affenpinscher,0.6327128507653061
n01872401_echidna,0.6377351721938775
n01514859_hen,0.6382533482142857
n01817953_African_grey,0.6397879464285714
n01629819_European_fire_salamander,0.6419204400510204
n02007558_flamingo,0.6462252869897959
n01560419_bulbul,0.6496133609693877
n01914609_sea_anemone,0.6537786989795918
n02088094_Afghan_hound,0.6546954719387755
n01592084_chickadee,0.6639030612244898
n02112137_chow,0.6727718431122449
n01695060_Komodo_dragon,0.6752630739795918
n01667778_terrapin,0.6766780931122449
n02105641_Old_English_sheepdog,0.6798270089285714
n02002556_white_stork,0.6827766262755102
n02110958_pug,0.683235012755102
n02105412_kelpie,0.6850486288265306
n01820546_lorikeet,0.6915258290816326
n02105855_Shetland_sheepdog,0.7005939094387755
n01843065_jacamar,0.7043805803571429
n01532829_house_finch,0.7048788265306123
n01843383_toucan,0.7113161670918368
n01631663_eft,0.7122130102040817
n01632458_spotted_salamander,0.713508450255102
