path,name,entropy_bits,edge_density,edge_pixels,distinct_colors_q16,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,complexity_score_simple,complexity_score_weighted,complexity_score_learned
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n02094114_Norfolk_terrier.JPEG,n02094114_Norfolk_terrier.JPEG,7.229226358608392,0.07762675382653061,3895,274,9.04864739853933,0.582229834662622,0.11659670314258647,0.822576846059798,2.999680884240978,5.238825810880304,0.8027783531876928
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n03633091_ladle.JPEG,n03633091_ladle.JPEG,7.403610606527294,0.06385522959183673,3204,274,5.591104354192868,0.631701100592168,0.12652811438070038,0.9216329202568806,2.409852808574924,4.356018184664423,0.7988992555549627
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n02231487_walking_stick.JPEG,n02231487_walking_stick.JPEG,6.982333151833251,0.13936941964285715,6993,161,28.446422462061022,0.46809728736603806,0.13945361854838156,0.7829504252510343,4.5786175630889865,8.464290103783698,0.7668995724669087
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n03271574_electric_fan.JPEG,n03271574_electric_fan.JPEG,7.581309310413239,0.14500956632653061,7276,422,25.447110363336236,0.46829148032524637,0.10051995407364193,0.7803387832347266,6.009627454990126,10.63276896612377,0.7618655810885874
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n02037110_oystercatcher.JPEG,n02037110_oystercatcher.JPEG,5.739158906457629,0.027323820153061226,1371,238,3.542247016150573,0.6942049098129186,0.27887836661676674,0.7471590143009893,0.044221633464587295,-0.43601370567890485,0.7241736569008832
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n02963159_cardigan.JPEG,n02963159_cardigan.JPEG,5.9195891148626485,0.06726323341836735,3375,209,10.111677979555086,0.6680288566113761,0.28094692132363797,0.8837684295376534,0.9465183529003609,1.8249591236019151,0.6596517645940532
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n03325584_feather_boa.JPEG,n03325584_feather_boa.JPEG,6.986049077279283,0.12902582908163265,6474,551,8.822493121504365,0.5648822783698202,0.14068087442409974,0.8862406135903533,4.809182668209404,8.621108212662012,0.6313460658207818
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n03690938_lotion.JPEG,n03690938_lotion.JPEG,6.907562597419382,0.07382015306122448,3704,556,12.13924110485258,0.6956759558154224,0.21939160237698216,0.9518549428855152,2.9565633777052716,5.016093649673914,0.6266587068701905
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n03494278_harmonica.JPEG,n03494278_harmonica.JPEG,7.168260113805263,0.13522401147959184,6785,597,12.786313020166874,0.5784651759886459,0.16173780299703328,0.9527042551800207,5.11261758270462,9.266324533856412,0.615619486688589
../benchmarks/vggnet16_benchmark2022/segmented_outputs/object/n03223299_doormat.JPEG,n03223299_doormat.JPEG,6.58332807403149,0.14393335459183673,7222,230,6.898843228245944,0.513816981594424,0.14313296745070458,0.8486111226573999,3.825696846727496,7.43157662994034,0.6131868502399108
