image,model,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
resnet_large__label_10__idx_7516,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_10__idx_7516,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.9276002049446106,"[0, 0, 31, 31]",303,2769,3072,9.86328125,random
resnet_large__label_10__idx_7516,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.9276002049446106,"[0, 0, 31, 31]",2769,303,3072,90.13671875,random
resnet_large__label_10__idx_8477,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_10__idx_8477,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.9435863494873047,"[0, 0, 31, 31]",267,2805,3072,8.69140625,random
resnet_large__label_10__idx_8477,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.9435863494873047,"[0, 0, 31, 31]",2805,267,3072,91.30859375,random
resnet_large__label_11__idx_3469,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_11__idx_3469,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.7863373160362244,"[0, 0, 31, 31]",75,2997,3072,2.44140625,random
resnet_large__label_11__idx_3469,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.7863373160362244,"[0, 0, 31, 31]",2997,75,3072,97.55859375,random
resnet_large__label_12__idx_6868,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_12__idx_6868,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.3810194432735443,"[0, 0, 31, 31]",3,3069,3072,0.09765625,random
resnet_large__label_12__idx_6868,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.3810194432735443,"[0, 0, 31, 31]",3069,3,3072,99.90234375,random
resnet_large__label_12__idx_8525,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_12__idx_8525,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.7213395237922668,"[0, 0, 31, 31]",18,3054,3072,0.5859375,random
resnet_large__label_12__idx_8525,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.7213395237922668,"[0, 0, 31, 31]",3054,18,3072,99.4140625,random
resnet_large__label_13__idx_803,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_13__idx_803,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.5789956450462341,"[0, 0, 31, 31]",33,3039,3072,1.07421875,random
resnet_large__label_13__idx_803,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.5789956450462341,"[0, 0, 31, 31]",3039,33,3072,98.92578125,random
resnet_large__label_17__idx_8201,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_17__idx_8201,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.6052998304367065,"[0, 0, 31, 31]",6,3066,3072,0.1953125,random
resnet_large__label_17__idx_8201,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.6052998304367065,"[0, 0, 31, 31]",3066,6,3072,99.8046875,random
resnet_large__label_18__idx_1992,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_18__idx_1992,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.4473094940185547,"[0, 0, 31, 31]",0,3072,3072,0.0,random
resnet_large__label_18__idx_1992,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.4473094940185547,"[0, 0, 31, 31]",3072,0,3072,100.0,random
resnet_large__label_18__idx_5863,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_18__idx_5863,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.8389684557914734,"[0, 0, 31, 31]",3,3069,3072,0.09765625,random
resnet_large__label_18__idx_5863,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.8389684557914734,"[0, 0, 31, 31]",3069,3,3072,99.90234375,random
resnet_large__label_18__idx_75,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_18__idx_75,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.9115673303604126,"[0, 0, 31, 31]",0,3072,3072,0.0,random
resnet_large__label_18__idx_75,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.9115673303604126,"[0, 0, 31, 31]",3072,0,3072,100.0,random
resnet_large__label_18__idx_917,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_18__idx_917,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.5619344711303711,"[0, 0, 31, 31]",0,3072,3072,0.0,random
resnet_large__label_18__idx_917,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.5619344711303711,"[0, 0, 31, 31]",3072,0,3072,100.0,random
resnet_large__label_19__idx_1885,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_19__idx_1885,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.6434741020202637,"[0, 0, 31, 31]",126,2946,3072,4.1015625,random
resnet_large__label_19__idx_1885,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.6434741020202637,"[0, 0, 31, 31]",2946,126,3072,95.8984375,random
